Artist,Tracks,Plays
Jesper Kyd,Club Heaven,17
Joy Division,Transmission,17
Living Colour,Cult of Personality,17
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Lava,17
Stephen Rippy,Case in Point: Paste,17
Stephen Rippy,Tazer,17
Stone Temple Pilots,Big Empty,17
The Cars,Drive,17
The Police,Voices Inside My Head,17
The Rolling Stones,(I Can't Get No) Satisfaction,17
The Who,Behind Blue Eyes,17
Blue Öyster Cult,(Don't Fear) The Reaper,16
Daft Punk,"Harder, Better, Faster, Stronger",16
Danny Elfman,The Little Things,16
Dire Straits,Heavy Fuel,16
Foo Fighters,Everlong,16
Genesis,Firth of Fifth,16
Led Zeppelin,Misty Mountain Hop,16
Mick Gordon,Everything Is Going to Be Okay,16
Robert Prince,The Demons From Adrian's Pen,16
Ryo Nagamatsu,Title Screen,16
Scorpions,Rock You Like a Hurricane,16
The White Stripes,Icky Thump,16
"Tunç Çakır, LudoWic",Blue Room (KZ-version),16
ZZ Top,La Grange,16
Aperture Science Psychoacoustics Laboratory,Self Esteem Fund,15
Asia,Heat of the Moment,15
Audioslave,Like a Stone,15
Christopher Larkin,Fungal Wastes,15
Cream,Sunshine of Your Love,15
Dire Straits,One World,15
Foreigner,Urgent,15
Jesper Kyd,Hunter,15
Jethro Tull,Aqualung,15
Led Zeppelin,Moby Dick,15
Led Zeppelin,Stairway to Heaven,15
Ludowic,The Sandman 1,15
Ozzy Osbourne,I Don't Wanna Stop,15
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 7 - Cloud World,15
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 8 - Bowser’s World,15
Starship,We Built This City,15
Styx,Mr. Roboto,15
The Police,Darkness,15
The Police,Secret Journey,15
The Police,Tea In The Sahara,15
The Prodigy,Invaders Must Die,15
Toto,Hold the Line,15
Van Halen,Jump,15
Van Halen,Runnin With The Devil,15
Vitalis Eirich,Fleisch und Eiscreme,15
永田権太,Snow,15
永田権太,Underground,15
&quot;Weird Al&quot; Yankovic,Money for Nothing/Beverly Hillbillies,14
Aperture Science Psychoacoustics Laboratory,Cara Mia Addio,14
Camel,Chord Change,14
Genesis,Invisible Touch,14
Martin O'Donnell &amp; Michael Salvatori,Three Gates,14
Michael McCann,Distorted Reality,14
Oasis,Wonderwall,14
Pink Floyd,Pigs on the Wing (Part 2),14
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Jungle,14
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",World 5 - Jungle World,14
The Rolling Stones,Sympathy for the Devil,14
The Smashing Pumpkins,"Tonight, Tonight",14
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #4,13
Black Sabbath,Iron Man,13
Boston,Peace of Mind,13
David Bowie,Fame,13
Deep Purple,Smoke on the Water,13
Foreigner,Head Games,13
Hans Zimmer,The Electro Suite,13
Howard Shore,The Uruk-Hai,13
Kenta Nagata,Ground,13
Led Zeppelin,Four Sticks,13
Martin O'Donnell &amp; Michael Salvatori,Deference For Darkness,13
Martin O'Donnell &amp; Michael Salvatori,How to Get Ahead in War,13
Scorpions,No One Like You,13
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Beach,13
Stephen Rippy,Quest for Bacon,13
The Rolling Stones,Gimme Shelter,13
The Who,Who Are You,13
U2,Where the Streets Have No Name,13
&quot;Weird Al&quot; Yankovic,Canadian Idiot,12
&quot;Weird Al&quot; Yankovic,The Saga Begins,12
AC/DC,Highway to Hell,12
AC/DC,Moneytalks,12
AC/DC,You Shook Me All Night Long,12
Aperture Science Psychoacoustics Laboratory,9999999,12
Aperture Science Psychoacoustics Laboratory,Comedy = Tragedy + Time,12
Blue Öyster Cult,Sole Survivor,12
CoLD SToRAGE,Operatique,12
Coldplay,Clocks,12
Dio,Rainbow in the Dark,12
Foreigner,Juke Box Hero,12
Hans Zimmer,S.T.A.Y.,12
Howard Shore,Forth Eorlingas,12
Howard Shore,The Fields of Pelennor,12
Kansas,Carry on Wayward Son,12
Linkin Park,What I've Done,12
Nirvana,In Bloom,12
Stephen Rippy,Quest for Jam,12
System of a Down,Chop Suey!,12
The Beatles,For No One,12
The Doors,Light My Fire,12
The Police,Miss Gradenko,12
The Rolling Stones,Start Me Up,12
U2,New Year's Day,12
U2,With or Without You,12
Aperture Science Psychoacoustics Laboratory,4000 Degrees Kelvin,11
Aperture Science Psychoacoustics Laboratory,Android Hell,11
Aperture Science Psychoacoustics Laboratory,Halls Of Science 4,11
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #6,11
Aperture Science Psychoacoustics Laboratory,Science is Fun,11
Bad Company,Bad Company,11
Black Sabbath,War Pigs,11
Blue Öyster Cult,Burnin for You,11
Bon Jovi,It's My Life,11
Camel,Pressure Points,11
Hans Zimmer,Gotham's Reckoning,11
Hans Zimmer,Tears In The Rain,11
Howard Shore,Andúril,11
Howard Shore,The Black Gate Opens,11
Howard Shore,The Breaking of the Fellowship,11
Howard Shore,The Ride of the Rohirrim,11
Journey,Lights,11
Journey,Separate Ways (Worlds Apart),11
Keiki Kobayashi,Hush,11
Led Zeppelin,Heartbreaker,11
Led Zeppelin,Whole Lotta Love,11
Ludowic,The Sandman 2,11
Metallica,Wherever I May Roam,11
Michael Jackson,Billie Jean,11
Ozzy Osbourne,Bark at the Moon,11
Pearl Jam,Even Flow,11
Ratt,Round and Round,11
Stephen Rippy,Quest For Butter,11
Stephen Rippy,Quest for Eggs,11
Sting,Desert Rose,11
Tears for Fears,Everybody Wants to Rule the World,11
The Smashing Pumpkins,Cherub Rock,11
UK,In The Dead Of Night,11
Vitalis Eirich,Hazulu,11
Aerosmith,Dream On,10
Alexander Brandon,Liberty Island,10
"Asuka Ohta, Ryo Nagamatsu",Main Menu,10
Blue Öyster Cult,Godzilla,10
Boston,More Than a Feeling,10
CoLD SToRAGE,Kinkong,10
Gorillaz,Dirty Harry,10
Hans Zimmer,I'm Going Home,10
Hans Zimmer,Stay,10
Howard Shore,Concerning Hobbits,10
Michael McCann,Battle for the Future,10
Mick Gordon,Alex Theme,10
Moby,Extreme Ways,10
Nazareth,Love Hurts,10
Robert Prince,Dark Halls,10
Scorpions,Big City Nights,10
Stephen Rippy,Quest for Bread,10
The Doors,Riders on the Storm,10
Van Halen,Ain't Talkin Bout Love,10
Van Halen,Dance the Night Away,10
&quot;Weird Al&quot; Yankovic,I Can't Watch This,9
&quot;Weird Al&quot; Yankovic,I Love Rocky Road,9
&quot;Weird Al&quot; Yankovic,Theme from Rocky XIII (the Rye or the Kaiser),9
Aperture Science Psychoacoustics Laboratory,(defun botsbuildbots () (botsbuildbots)),9
Billy Squier,Lonely Is The Night,9
CoLD SToRAGE,Tentative,9
CoLD SToRAGE,Wipeout Intro,9
Guns N' Roses,November Rain,9
Hans Zimmer,Blood on My Hands,9
Howard Shore,The Bridge of Khazad-Dûm,9
Led Zeppelin,When the Levee Breaks,9
Lynyrd Skynyrd,Free Bird,9
Metallica,Battery,9
Metallica,Nothing Else Matters,9
Metallica,Ride the Lightning,9
Metallica,The Unforgiven,9
Metallica,Welcome Home (Sanitarium),9
Michael McCann,Martial Law,9
Nirvana,Lithium,9
Raphael Colantonio,Semi Sacred Geometry,9
Robert Prince,Deep Into The Code,9
Rush,2112: I. Overture / II. The Temples of Syrinx / III. Discovery / IV. Presentation / V. Oracle: the Dream / VI. Soliloquy / VII. Grand Finale,9
The Jimi Hendrix Experience,Purple Haze,9
The Smashing Pumpkins,The Beginning Is the End Is the Beginning,9
The Who,Underture,9
Van Halen,Panama,9
&quot;Weird Al&quot; Yankovic,Germs,8
&quot;Weird Al&quot; Yankovic,White &amp; Nerdy,8
AC/DC,Dirty Deeds Done Dirt Cheap,8
Aerosmith,Rag Doll,8
Aerosmith,Sweet Emotion,8
Alice in Chains,Rooster,8
Aperture Science Psychoacoustics Laboratory,Concentration Enhancing Menu Initialiser,8
"Asuka Ohta, Ryo Nagamatsu",Title,8
Bill Kiley,Sneaky Driver,8
Bon Jovi,Wanted Dead or Alive,8
CoLD SToRAGE,Kinkong - Mix 2,8
Dire Straits,Telegraph Road,8
Dire Straits,The Man’s Too Strong,8
Eagles,Hotel California,8
Ennio Morricone,"The Good, the Bad and the Ugly",8
Foreigner,Hot Blooded,8
Hans Zimmer,And I Thought My Jokes Were Bad,8
Hans Zimmer,Dreaming of the Crash,8
Hans Zimmer,I'm Not a Hero,8
Hans Zimmer,No Time For Caution,8
Hans Zimmer,The Shadows Betray You,8
Junkie XL,Blood Bag,8
Junkie XL,Brothers In Arms,8
Metallica,Fade to Black,8
Metallica,Welcome Home,8
Michael Jackson,Beat It,8
Michael McCann,The Machine God,8
Michael McCann,The Orchid,8
Moby,We Are All Made of Stars,8
Nirvana,Smells Like Teen Spirit,8
Ozzy Osbourne,Shot in the Dark,8
Pink Floyd,Goodbye Blue Sky,8
Pink Floyd,The Thin Ice,8
Rush,Something for Nothing,8
The Rolling Stones,Paint It Black,8
The Smashing Pumpkins,Disarm,8
永田権太,Underground (Yoshi),8
&quot;Weird Al&quot; Yankovic,Eat It,7
