Artist,Tracks,Plays,Time
Robert Prince,Nobody Told Me About Id,34,107.1
Rush,Tears,30,107.0
Sting,Shape Of My Heart,23,106.95
Soundgarden,Spoonman,26,106.6
Martin O'Donnell & Michael Salvatori,Lions and Tigers and...,64,105.6
Alexander Brandon,Hong Kong Helipad,40,105.333
Asia,Only Time Will Tell,22,104.5
Collective Soul,December,22,104.5
Martin O'Donnell & Michael Salvatori,Cryptic Whisper,36,103.2
Robert Prince,At Doom's Gate,60,103.0
Mick Gordon,Kalibas The Sightless Judge,18,102.9
R.E.M.,Losing My Religion,23,102.733
Muse,Undisclosed Desires,26,102.267
Jesper Kyd,Hunter,15,102.0
DJ Electrohead,Hit The Floor,29,101.5
Michael McCann,Safehouse,35,100.917
Led Zeppelin,Trampled Under Foot,18,100.8
Mick Gordon,Hell On Earth,20,100.667
Alexander Brandon,Reyes Gauntlet (Training Room),41,100.45
Muse,Starlight,25,99.583
Jethro Tull,Aqualung,15,99.5
Keiki Kobayashi,Dual Wielder,28,99.4
Metallica,Enter Sandman,18,99.3
Led Zeppelin,Black Dog,20,98.333
Ennio Morricone,The Ecstasy of Gold,29,98.117
U2,Sunday Bloody Sunday,21,98.0
Sting,Englishman in New York,22,97.533
Home,Warmth,33,97.35
Nick Arundel,It Was the Joker,42,97.3
Foreigner,I Want to Know What Love Is,19,96.267
Martin O'Donnell & Michael Salvatori,Moon Over Mombasa,49,95.55
The Police,Contact,36,94.8
Alexander Brandon,Ambrosia Hunt (Battery Park),23,94.683
Martin O'Donnell & Michael Salvatori,Pale Rider,61,94.55
Home,New Machines,32,94.4
Camel,Chord Change,14,94.267
Martin O'Donnell & Michael Salvatori,"Bravery, Brotherhood",63,93.45
The Clash,Rock the Casbah,25,92.5
Ryo Watanabe,Magic Spear I,22,92.4
Hans Zimmer,Discombobulate,38,91.833
Dire Straits,Six Blade Knife,22,91.667
The Police,Synchronicity I,27,91.35
The Who,Underture,9,90.6
Keiki Kobayashi,Yinshi Valley,27,90.45
The Cars,Just What I Needed,24,90.0
Whitesnake,Is This Love,19,89.933
Nirvana,Heart-Shaped Box,19,88.983
The Rolling Stones,Sympathy for the Devil,14,87.967
Camel,Refugee,23,87.783
Home,12,38,86.767
Alexander Brandon,Area 51,19,86.767
Led Zeppelin,Ramble On,19,86.767
Black Sabbath,War Pigs,11,86.717
Stephen Rippy,I Will Beat On Your Behind,29,86.517
Martin O'Donnell & Michael Salvatori,Deference For Darkness,13,86.233
Mick Gordon,BFG Division 2020,18,85.8
Ludowic,Panoramic Feelings,27,85.5
Smash Mouth,Walkin' On The Sun,25,85.417
Tom Petty,Free Fallin',20,85.333
Kevin McMullan,Shookies in the Bank,27,85.05
The Doors,Light My Fire,12,85.0
Hans Zimmer,Dream Is Collapsing,35,84.583
Alexander Brandon,The Illuminati Reborn (Credits),28,84.467
Jethro Tull,"Thick as a Brick, Part II",4,84.2
Keiki Kobayashi,Siren's Song,24,84.0
Living Colour,Cult of Personality,17,83.3
Stone Temple Pilots,Big Empty,17,83.3
The Police,"De Do Do Do, De Da Da Da",20,83.0
AC DC,Thunderstruck,17,82.733
The Who,Who Are You,13,82.55
Home,Sunshower,28,82.133
Blue Öyster Cult,(Don't Fear) The Reaper,16,82.133
Lynyrd Skynyrd,Free Bird,9,82.05
Rush,A Passage to Bangkok,23,82.033
Home,Oort Cloud,24,82.0
Styx,Mr. Roboto,15,82.0
Stephen Rippy,Neep Ninny-Bod (Mix 2),25,81.667
Rage Against the Machine,How I Could Just Kill a Man,20,81.333
Alexander Brandon,Training,39,81.25
Lenny Kravitz,Fly Away,22,81.033
Stephen Rippy,Machina del Diablo,27,81.0
Weird Al  Yankovic,Bedrock Anthem,22,80.667
Howard Shore,The Breaking of the Fellowship,11,80.667
Metallica,Wherever I May Roam,12,80.6
Guns N' Roses,November Rain,9,80.4
Ludwig Goransson,RAINY NIGHT IN TALLINN,10,80.0
U2,Pride (in the Name of Love),21,79.45
Gorillaz,White Light,37,78.933
Dire Straits,Heavy Fuel,16,78.933
Michael McCann,Penthouse,49,78.4
Supertramp,Dreamer,22,78.1
Green Day,Boulevard of Broken Dreams,18,78.0
Stephen Rippy,"Ride, Lawrence, Ride!",27,77.85
Weird Al  Yankovic,Amish Paradise,23,77.433
The Smashing Pumpkins,Bullet With Butterfly Wings,18,77.4
The Police,Roxanne,24,77.2
Styx,Renegades,18,77.1
Home,Flashlight,28,77.0
Camel,Fingertips,17,76.783
Jesper Kyd,Apocalypse,17,76.783
Black Sabbath,Iron Man,13,76.7
Hans Zimmer,S.T.A.Y.,12,76.6
Red Hot Chili Peppers,Otherside,18,76.5
The Police,Bombs Away,24,75.6
AC DC,T.N.T.,21,75.25
Stephen Rippy,Bass Bag (Album Version),24,75.2
Gorillaz,November Has Come,28,75.133
Nazareth,Hair of the Dog,18,75.0
Stephen Rippy,Voodoodoodoo,25,74.583
Martin O'Donnell & Michael Salvatori,Not a Number,47,74.417
Vitalis Eirich,Movement Atnadev,24,74.4
Supertramp,Give a Little Bit,18,74.4
Led Zeppelin,Misty Mountain Hop,16,74.133
Starship,We Built This City,15,74.0
The Prodigy,Invaders Must Die,15,73.75
Christopher Larkin,False Knight,24,73.6
Hans Zimmer,Cornfield Chase,35,73.5
Gorillaz,19-2000,21,73.5
Audioslave,Like a Stone,15,73.5
Foreigner,Cold as Ice,22,73.333
Deep Purple,Smoke on the Water,13,73.233
Stephen Rippy,Operation  Monkey,22,72.6
The Police,O My God,18,72.6
The Doors,Riders on the Storm,10,72.5
The Jimi Hendrix Experience,All Along the Watchtower,18,72.3
Pink Floyd,See Emily Play,25,72.083
Kevin McMullan,Seamus & Chamois,20,72.0
The Police,Walking In Your Footsteps,20,72.0
Collective Soul,Listen,17,71.683
Jethro Tull,Bourée,19,71.567
Martin O'Donnell & Michael Salvatori,Rock in a Hard Place,54,71.1
Camel,Cloak and Dagger Man,18,71.1
Alexander Brandon,Naval Base,29,70.567
Loverboy,Working for the Weekend,19,69.983
Stephen Rippy,"Smells Like Crickets, Tastes Like Chicken",23,69.767
Nick Arundel,I Think You Should Do as He Says,27,69.75
Stephen Rippy,T Station,22,69.667
Joy Division,Disorder,20,69.667
Michael McCann,Distorted Reality,14,69.3
Led Zeppelin,Good Times Bad Times,25,69.167
Hans Zimmer,Why Do We Fall ,34,69.133
The White Stripes,Icky Thump,16,68.8
Hans Zimmer,Stay,10,68.667
Vitalis Eirich,Southeast Side,23,68.617
Scorpions,Rock You Like a Hurricane,16,68.0
Foreigner,Urgent,15,67.75
Mick Gordon,BFG 10k,23,67.083
Foo Fighters,Everlong,16,66.667
Jesper Kyd,Amb Zone,17,66.583
Home,Flatline,33,66.55
The Cars,Drive,17,66.3
The Police,Voices Inside My Head,17,66.017
Led Zeppelin,Immigrant Song,27,65.7
Weird Al  Yankovic,The Saga Begins,12,65.6
Boston,Peace of Mind,13,65.217
Led Zeppelin,Moby Dick,15,65.0
The Police,Tea In The Sahara,15,64.75
Kansas,Carry on Wayward Son,12,64.6
Stone Temple Pilots,Interstate Love Song,20,64.333
Led Zeppelin,When the Levee Breaks,9,64.2
Martin O'Donnell & Michael Salvatori,Three Gates,14,63.933
Kevin McMullan,The Bovinian Derivative,20,63.667
CoLD SToRAGE,Operatique,12,63.6
Alexander Brandon,NYC Streets 1,20,63.333
The Rolling Stones,Satisfaction,17,63.183
Rush,The Twilight Zone,19,63.017
The Who,Behind Blue Eyes,17,62.617
Cream,Sunshine of Your Love,15,62.5
Jesper Kyd,Night Time in New Orleans,19,62.383
Christopher Larkin,City of Tears,21,62.3
U2,Where the Streets Have No Name,13,62.183
Robert Prince,Hiding The Secrets,26,61.967
Joy Division,Transmission,17,61.767
Led Zeppelin,Four Sticks,13,61.75
Coldplay,Clocks,12,61.4
Kevin McMullan,Tide Me Over Warm 'em Ups,20,61.333
ZZ Top,La Grange,16,61.333
Led Zeppelin,Whole Lotta Love,11,61.233
UK,In The Dead Of Night,11,61.233
Keiki Kobayashi,Hush,11,60.867
The Police,Canary In A Coalmine,25,60.833
Michael McCann,G.A.R.M.,18,60.6
Ryo Watanabe,Skies Unknown,39,60.45
Van Halen,Jump,15,60.25
Oasis,Wonderwall,14,60.2
Ozzy Osbourne,I Don't Wanna Stop,15,59.75
Daft Punk,"Harder, Better, Faster, Stronger",16,59.733
Ludwig Goransson,The Algorithm,10,59.667
Vitalis Eirich,Diamond Dragon,19,59.533
Dire Straits,Twisting By the Pool,17,59.5
Pink Floyd,In the Flesh ,18,59.4
Metallica,Ride the Lightning,9,59.4
Alexander Brandon,Liberty Island,10,59.333
The Smashing Pumpkins,"Tonight, Tonight",14,59.267
Journey,Separate Ways (Worlds Apart),11,59.217
Stephen Rippy,Basura! Basura!,21,59.15
U2,With or Without You,12,59.0
Toto,Hold the Line,15,58.75
The Rolling Stones,Gimme Shelter,13,58.5
Bill Kiley,Snow,25,58.333
Metallica,Nothing Else Matters,9,58.2
Metallica,The Unforgiven,9,58.05
Metallica,Welcome Home (Sanitarium),9,58.05
Hans Zimmer,I'm Going Home,10,58.0
The Who,Pinball Wizard,19,57.0
Asia,Heat of the Moment,15,56.75
David Bowie,Fame,13,56.55
Alexander Brandon,NYC Streets 2 (Mission Eight),17,56.1
Pink Floyd,Pigs on the Wing (Part 1),40,56.0
The Smashing Pumpkins,Zero,21,56.0
U2,New Year's Day,13,55.683
Stephen Rippy,Drizzle (Firelight Smoove Mix),21,55.65
Metallica,Fade to Black,8,55.6
"Bill Kiley, Justin Stander",Nocturne,25,55.417
Danny Elfman,The Little Things,16,55.2
Dire Straits,One World,15,55.0
Jesper Kyd,Club Heaven,17,54.967
The Smashing Pumpkins,Cherub Rock,11,54.45
Michael Jackson,Billie Jean,11,53.9
Pearl Jam,Even Flow,11,53.717
Howard Shore,The Bridge of Khazad-Dûm,9,53.55
Van Halen,Runnin With The Devil,15,53.5
Jesper Kyd,Before the Storm,20,53.333
The Police,Secret Journey,15,53.25
Bad Company,Bad Company,11,52.8
Aperture Science Psychoacoustics Laboratory,Self Esteem Fund,15,52.5
Eagles,Hotel California,8,52.4
Sting,Desert Rose,11,52.25
Foreigner,Juke Box Hero,12,51.8
Metallica,Welcome Home (Sanitarium),8,51.6
"Shiho Fujii, Ryo Nagamatsu, Kenta Nagata",Lava,17,51.567
Hans Zimmer,I'm Not a Hero,8,51.467
Scorpions,No One Like You,13,51.35
Nirvana,In Bloom,12,50.8
Dio,Rainbow in the Dark,12,50.6
Stephen Rippy,Case in Point  Paste,17,50.433
Aperture Science Psychoacoustics Laboratory,Halls Of Science 4,11,50.417
Stephen Rippy,Tazer,17,50.15
Alice in Chains,Rooster,8,49.867
Blue Öyster Cult,Burnin for You,11,49.683
CoLD SToRAGE,Tentative,9,49.35
Blue Öyster Cult,Sole Survivor,12,49.2
Kazumi Totaka,Shop Channel,25,49.167
Genesis,Invisible Touch,14,48.767
Ratt,Round and Round,11,48.583
