Artist,Tracks,Plays,Time
The White Stripes,Icky Thump,10,43.0
Van Halen,Runnin With The Devil,12,42.8
Don McLean,American Pie,5,42.75
Hans Zimmer,The Shadows Betray You,8,42.667
Whitesnake,Is This Love,9,42.6
Nirvana,Heart-Shaped Box,9,42.15
Bill Kiley,Rain On Brick,30,42.0
Dire Straits,Twisting By the Pool,12,42.0
Aperture Science Psychoacoustics Laboratory,Comedy = Tragedy + Time,12,41.8
Foo Fighters,Everlong,10,41.667
The Police,"De Do Do Do, De Da Da Da",10,41.5
Aperture Science Psychoacoustics Laboratory,Android Hell,11,41.25
Howard Shore,The Fields of Pelennor,12,41.2
Junkie XL,Chapter Doof,6,40.9
Collective Soul,Shine,8,40.8
Pink Floyd,"Another Brick in the Wall, Pt. 3",33,40.7
Foo Fighters,The Pretender,9,40.35
Van Halen,Jump,10,40.167
Foreigner,Cold as Ice,12,40.0
Hans Zimmer,Like a Dog Chasing Cars,8,39.867
Hans Zimmer,Day One,12,39.8
Mick Gordon,Everything Is Going to Be Okay,16,39.733
Moby,Extreme Ways,10,39.5
Scorpions,No One Like You,10,39.5
Deep Purple,Smoke on the Water,7,39.433
Black Sabbath,War Pigs,5,39.417
Pearl Jam,Even Flow,8,39.067
Howard Shore,Forth Eorlingas,12,39.0
UK,In The Dead Of Night,7,38.967
AC/DC,Thunderstruck,8,38.933
The Smashing Pumpkins,Bullet With Butterfly Wings,9,38.7
Metallica,Welcome Home (Sanitarium),6,38.7
Michael McCann,Battle for the Future,10,38.667
Howard Shore,The Uruk-Hai,13,38.567
Styx,Renegades,9,38.55
Christopher Larkin,Mantis Lords,22,38.5
Pink Floyd,The Happiest Days of Our Lives,21,38.5
Aperture Science Psychoacoustics Laboratory,9999999,12,38.2
Boston,More Than a Feeling,8,38.0
Christopher Larkin,Reflection,23,37.95
Journey,Separate Ways (Worlds Apart),7,37.683
Kansas,Carry on Wayward Son,7,37.683
Tears for Fears,Everybody Wants to Rule the World,9,37.65
CoLD SToRAGE,Canada,6,37.4
Dire Straits,The Man’s Too Strong,8,37.333
Nine Inch Nails,Closer,6,37.3
Bill Kiley,Sneaky Driver,8,37.2
CoLD SToRAGE,Messij Extended,4,37.2
Gorillaz,Dirty Harry,10,37.167
CoLD SToRAGE,Body Plus - &quot;Body in Motion&quot; Remix,4,37.133
&quot;Weird Al&quot; Yankovic,Germs,8,37.067
Aperture Science Psychoacoustics Laboratory,(defun botsbuildbots () (botsbuildbots)),9,37.05
Styx,Come Sail Away,6,36.7
Keiki Kobayashi,Zero,7,36.633
Moby,We Are All Made of Stars,8,36.4
CoLD SToRAGE,Cairodrome,7,36.4
CoLD SToRAGE,Kinkong - Mix 2,8,36.133
Foreigner,Urgent,8,36.133
Ludowic,V Limo (New Donk Shitty),21,35.7
Aperture Science Psychoacoustics Laboratory,Cara Mia Addio,14,35.7
Sting,Englishman in New York,8,35.467
Black Sabbath,Iron Man,6,35.4
Ratt,Round and Round,8,35.333
Journey,Lights,11,34.833
Living Colour,Cult of Personality,7,34.3
U2,New Year's Day,8,34.267
Tom Petty,Free Fallin',8,34.133
Michael McCann,The Orchid,8,34.0
Collective Soul,Listen,8,33.733
Michael McCann,Palisade Bank,7,33.6
Tool,Rosetta Stoned,3,33.55
Nazareth,Hair of the Dog,8,33.333
Asia,Only Time Will Tell,7,33.25
Sting,Desert Rose,7,33.25
Scorpions,Big City Nights,8,33.2
Hans Zimmer,No Time For Caution,8,32.8
Michael McCann,The Machine God,8,32.8
Kids Fly,Ensemble Dissonance,8,32.667
Foreigner,Head Games,9,32.55
Sting,Shape Of My Heart,7,32.55
&quot;Weird Al&quot; Yankovic,Theme from Rocky XIII (the Rye or the Kaiser),9,32.4
Hans Zimmer,Time,7,32.317
Christopher Larkin,Hollow Knight,20,32.0
The Smashing Pumpkins,Zero,12,32.0
Aerosmith,Sweet Emotion,7,31.967
Aperture Science Psychoacoustics Laboratory,Procedural Jiggle Bone,7,31.967
Rush,Something for Nothing,8,31.867
&quot;Weird Al&quot; Yankovic,I Can't Watch This,9,31.65
Hans Zimmer,Dreaming of the Crash,8,31.333
CoLD SToRAGE,DOH-T,6,31.3
Foreigner,Hot Blooded,7,31.267
Danny Elfman,The Little Things,9,31.05
Rage Against the Machine,Freedom,5,30.5
Foreigner,Juke Box Hero,7,30.217
Nirvana,Smells Like Teen Spirit,6,30.1
The Smashing Pumpkins,The Beginning Is the End Is the Beginning,6,30.0
Nirvana,Lithium,7,29.983
Ozzy Osbourne,Bark at the Moon,7,29.983
Rage Against the Machine,Calm Like a Bomb,6,29.8
Blue Öyster Cult,Godzilla,8,29.467
Michael Jackson,Billie Jean,6,29.4
Junkie XL,Blood Bag,8,29.2
Howard Shore,Concerning Hobbits,10,29.167
Cream,Sunshine of Your Love,7,29.167
Aperture Science Psychoacoustics Laboratory,Robot Waiting Room #4,13,29.033
The Doors,Riders on the Storm,4,29.0
Bill Kiley,A Fine Red Mist,24,28.8
Blue Öyster Cult,Sole Survivor,7,28.7
&quot;Weird Al&quot; Yankovic,Canadian Idiot,12,28.6
ZZ Top,Cheap Sunglasses,6,28.6
Howard Shore,Andúril,11,28.417
Michael McCann,Martial Law,9,28.35
Moby,Porcelain,7,28.117
Aperture Science Psychoacoustics Laboratory,Science is Fun,11,28.05
Metallica,"Damage, Inc.",5,27.667
CoLD SToRAGE,Plasticity,7,27.183
Michael McCann,Dark Days,6,26.9
Michael McCann,Breaching the Veil,6,26.8
Guns N' Roses,November Rain,3,26.8
Asia,Heat of the Moment,7,26.483
AC/DC,Shoot to Thrill,5,26.417
The Smashing Pumpkins,Disarm,8,26.267
&quot;Weird Al&quot; Yankovic,Couch Potato,6,26.1
The Rolling Stones,(I Can't Get No) Satisfaction,7,26.017
Metallica,Battery,5,26.0
Metallica,Nothing Else Matters,4,25.867
Metallica,Master of Puppets,3,25.75
CoLD SToRAGE,Messij Received,6,25.5
Scorpions,Rock You Like a Hurricane,6,25.5
Hans Zimmer,Introduce a Little Anarchy,7,25.433
Metallica,Orion,3,25.35
Foreigner,I Want to Know What Love Is,5,25.333
Dio,Rainbow in the Dark,6,25.3
Bryan Adams,Summer of '69,7,25.2
The Rolling Stones,Sympathy for the Devil,4,25.133
Bon Jovi,Livin' on a Prayer,6,25.1
Ozzy Osbourne,Crazy Train,5,24.667
